epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,2738.76,0.82416,0.69914,1.41459,0.6127,0.67039,0.69035,0.47271,1.21494,1.148,2.04897,0.00774775,0.00774775,0.00774775
93,2768.18,0.83732,0.69679,1.4273,0.67448,0.73476,0.72409,0.49419,1.16318,1.02715,1.93812,0.007723,0.007723,0.007723
94,2797.58,0.84871,0.69814,1.43586,0.63442,0.74856,0.71438,0.4741,1.20181,1.16563,1.95693,0.00769825,0.00769825,0.00769825
95,2826.97,0.81884,0.68759,1.41999,0.59696,0.62245,0.62761,0.41154,1.14271,1.34325,1.93978,0.0076735,0.0076735,0.0076735
96,2856.42,0.82134,0.69753,1.41617,0.65958,0.68319,0.70172,0.47003,1.12263,0.99835,1.92608,0.00764875,0.00764875,0.00764875
97,2885.81,0.81446,0.67913,1.40768,0.67566,0.74002,0.73237,0.48002,1.16243,1.28806,1.89621,0.007624,0.007624,0.007624
98,2915.27,0.81341,0.68069,1.41657,0.6663,0.72133,0.74206,0.43475,1.22758,1.1343,1.99547,0.00759925,0.00759925,0.00759925
99,2944.68,0.82712,0.68642,1.41327,0.74675,0.75369,0.78313,0.51927,1.15682,0.88396,1.92272,0.0075745,0.0075745,0.0075745
100,2974.41,0.80865,0.68149,1.40175,0.69101,0.70796,0.73511,0.48465,1.18192,1.21759,1.91319,0.00754975,0.00754975,0.00754975
101,3003.8,0.80982,0.66507,1.39532,0.6669,0.69254,0.72293,0.48392,1.24065,1.25863,2.07129,0.007525,0.007525,0.007525
102,3033.2,0.81203,0.67403,1.40707,0.68853,0.71502,0.73753,0.51503,1.21599,1.02729,2.04916,0.00750025,0.00750025,0.00750025
103,3062.57,0.80365,0.64978,1.40014,0.76254,0.68094,0.75851,0.49144,1.24167,0.93245,2.09935,0.0074755,0.0074755,0.0074755
104,3091.96,0.8143,0.66032,1.40682,0.68211,0.67913,0.67492,0.44444,1.1635,1.1029,2.0191,0.00745075,0.00745075,0.00745075
105,3121.36,0.79473,0.65017,1.38809,0.62206,0.72007,0.73105,0.48651,1.31488,0.94665,2.16895,0.007426,0.007426,0.007426
106,3150.72,0.79028,0.64942,1.39759,0.69012,0.71742,0.76323,0.50295,1.16106,1.08737,1.90294,0.00740125,0.00740125,0.00740125
107,3180.11,0.7911,0.63497,1.38802,0.66887,0.76443,0.75113,0.4959,1.11363,0.98221,1.8973,0.0073765,0.0073765,0.0073765
108,3209.53,0.79035,0.65575,1.3854,0.6666,0.70471,0.71971,0.48397,1.05956,1.04005,1.86984,0.00735175,0.00735175,0.00735175
109,3238.92,0.78957,0.64237,1.38128,0.66417,0.80444,0.80533,0.53185,1.15847,0.92265,1.93235,0.007327,0.007327,0.007327
110,3268.58,0.78173,0.63295,1.37886,0.67309,0.82202,0.75544,0.50339,1.1429,1.02746,1.99057,0.00730225,0.00730225,0.00730225
111,3297.96,0.78213,0.62346,1.37972,0.6234,0.76416,0.74602,0.49739,1.12419,0.92576,1.91013,0.0072775,0.0072775,0.0072775
112,3327.34,0.78286,0.62259,1.38103,0.71181,0.63051,0.71118,0.46671,1.17805,1.06055,1.98091,0.00725275,0.00725275,0.00725275
113,3356.71,0.78331,0.61903,1.38621,0.75694,0.66018,0.73054,0.47493,1.15356,1.1747,1.95961,0.007228,0.007228,0.007228
114,3386.1,0.78352,0.62086,1.38511,0.57783,0.77933,0.7363,0.50613,1.22937,1.08862,2.05916,0.00720325,0.00720325,0.00720325
115,3415.47,0.77714,0.61434,1.37768,0.69636,0.70573,0.71708,0.48617,1.13739,1.07244,1.93541,0.0071785,0.0071785,0.0071785
116,3444.87,0.77341,0.61465,1.36945,0.66552,0.76513,0.74625,0.49148,1.19801,1.07547,2.0063,0.00715375,0.00715375,0.00715375
117,3474.25,0.79061,0.60422,1.38179,0.657,0.71201,0.70186,0.46926,1.20443,1.09641,2.07494,0.007129,0.007129,0.007129
118,3503.66,0.75987,0.59728,1.35888,0.6984,0.79454,0.78723,0.50261,1.15638,1.11542,1.92862,0.00710425,0.00710425,0.00710425
119,3533.06,0.76667,0.59641,1.37463,0.65963,0.70432,0.71124,0.47642,1.15584,1.04616,1.93159,0.0070795,0.0070795,0.0070795
120,3562.49,0.75679,0.5788,1.35192,0.58747,0.62589,0.65336,0.43705,1.10999,1.21316,1.87016,0.00705475,0.00705475,0.00705475
121,3591.87,0.75948,0.5987,1.35074,0.66534,0.71626,0.74493,0.50703,1.14732,0.99558,1.97753,0.00703,0.00703,0.00703
122,3621.27,0.75914,0.59343,1.35381,0.60512,0.78651,0.74206,0.49531,1.16119,1.01249,2.0803,0.00700525,0.00700525,0.00700525
123,3650.63,0.76555,0.58236,1.35237,0.70328,0.7154,0.76069,0.5218,1.09059,1.04439,1.8782,0.0069805,0.0069805,0.0069805
124,3679.99,0.75659,0.59341,1.34914,0.74716,0.66651,0.74238,0.50611,1.15985,1.1207,2.00123,0.00695575,0.00695575,0.00695575
